id,value
id_0,16.4117682162
id_1,17.4149879896
id_2,36.37366005
id_3,19.6338170925
id_4,25.5375216253
id_5,19.5367759026
id_6,21.6698160397
id_7,24.515683304
id_8,23.905119399
id_9,31.3950768287
id_10,20.1534060478
id_11,20.087923497
id_12,32.1254750409
id_13,34.1310827233
id_14,22.9269699689
id_15,17.857760583
id_16,31.5664388807
id_17,44.4113950335
id_18,20.4256972316
id_19,16.9716945859
id_20,23.072346964
id_21,35.7938219393
id_22,17.9092328406
id_23,25.2429253471
id_24,15.7243068239
id_25,26.2515702016
id_26,15.570585358
id_27,41.2433882214
id_28,18.3773473605
id_29,39.2331333098
id_30,25.8498684761
id_31,20.9474440749
id_32,13.3847495166
id_33,27.0900541529
id_34,33.9570623671
id_35,33.4513301453
id_36,22.6379296947
id_37,24.1643404768
id_38,36.0952966019
id_39,30.4945696515
id_40,22.6498990555
id_41,21.8888229548
id_42,32.0641858091
id_43,29.3266799392
id_44,19.6816123332
id_45,30.2116432133
id_46,17.7077748733
id_47,19.0314890524
id_48,25.3706181168
id_49,17.2706724921
id_50,28.5473404658
id_51,19.8931781925
id_52,28.8071339475
id_53,29.5943677197
id_54,15.7343111599
id_55,30.0383570274
id_56,22.1797204917
id_57,26.8616818751
id_58,31.4358896523
id_59,22.5740658937
id_60,19.1056933793
id_61,34.8849490877
id_62,17.9751421239
id_63,35.7487947944
id_64,26.6237364523
id_65,21.6089028983
id_66,22.6020264619
id_67,16.5048293017
id_68,25.2507562995
id_69,31.2159272346
id_70,22.7371630281
id_71,18.3069933524
id_72,39.7361541251
id_73,18.5882457881
id_74,23.838201796
id_75,19.2636989664
id_76,30.9114046061
id_77,22.4040359396
id_78,36.3507260099
id_79,22.6089375689
id_80,18.6509959821
id_81,21.7965502099
id_82,28.8676199104
id_83,34.5536271693
id_84,17.7796337965
id_85,19.7540366323
id_86,19.5254310912
id_87,21.6213011262
id_88,18.9045975716
id_89,26.2700452403
id_90,29.5957407397
id_91,23.7484865028
id_92,20.7694089492
id_93,29.6459208758
id_94,19.990640773
id_95,21.4981262277
id_96,22.6922154821
id_97,18.3112386788
id_98,20.2536432182
id_99,18.2108599265
id_100,13.43147412
id_101,25.149567026
id_102,19.6721287395
id_103,19.2235003415
id_104,22.4661250683
id_105,23.1398597019
id_106,25.5892351764
id_107,17.447796488
id_108,21.0499888799
id_109,29.412919579
id_110,27.6871294391
id_111,16.1422843292
id_112,29.8850827586
id_113,27.9932216975
id_114,14.8125025611
id_115,20.0150893458
id_116,24.3816519827
id_117,14.1891739459
id_118,32.5917946202
id_119,18.7959799895
id_120,28.8206350492
id_121,24.857166047
id_122,21.8674251806
id_123,25.9413907941
id_124,22.2585464412
id_125,29.1976802379
id_126,19.2090755708
id_127,31.2915804303
id_128,30.5261437609
id_129,35.10678701
id_130,19.5602217298
id_131,24.9875279554
id_132,31.4843013521
id_133,13.9918108111
id_134,20.6042814869
id_135,15.8827184512
id_136,25.5594743577
id_137,28.1380689784
id_138,24.281227125
id_139,16.5844692267
id_140,25.0924992056
id_141,18.9651409247
id_142,25.523021256
id_143,26.8984313804
id_144,15.2643754823
id_145,24.9348257978
id_146,17.3880690593
id_147,34.1337956281
id_148,23.2131277789
id_149,29.5713213778
id_150,15.8255018504
id_151,17.7995498364
id_152,25.1503768872
id_153,11.8793308275
id_154,29.2924506256
id_155,37.6420115413
id_156,17.1310859345
id_157,20.5254635553
id_158,26.3299775696
id_159,23.8572750435
id_160,28.0341828349
id_161,13.4134945234
id_162,16.842704124
id_163,18.7633910777
id_164,32.9518232593
id_165,23.148554644
id_166,16.6374090527
id_167,12.3361674367
id_168,41.8656250318
id_169,23.0874397319
id_170,30.6114948114
id_171,35.4364071376
id_172,34.3146239742
id_173,22.75024259
id_174,40.7515540525
id_175,29.0938071256
id_176,33.0200356057
id_177,27.8555394903
id_178,23.678162246
id_179,20.8034796703
id_180,20.0867361725
id_181,17.2226740593
id_182,21.4504884713
id_183,24.9549547393
id_184,12.6528544379
id_185,24.8985086344
id_186,24.4939950878
id_187,33.3720527607
id_188,18.1159254045
id_189,45.0115182555
id_190,37.7361215163
id_191,27.5005936134
id_192,26.201509893
id_193,19.7745830748
id_194,19.4069167944
id_195,12.1777705736
id_196,20.4519192377
id_197,22.0716907613
id_198,27.397566086
id_199,30.1573406638
id_200,28.7217767099
id_201,22.5609289155
id_202,34.8866968296
id_203,22.9459388646
id_204,11.5985509498
id_205,13.7679077976
id_206,18.3793153779
id_207,15.6456926769
id_208,37.3993757117
id_209,16.6852944182
id_210,19.3929694911
id_211,27.7321145666
id_212,22.8120948241
id_213,27.8985492092
id_214,20.2160563703
id_215,20.9291111896
id_216,48.8157960148
id_217,17.4527342235
id_218,16.5589507106
id_219,38.3885641058
id_220,19.7987575222
id_221,26.6344294063
id_222,45.2471263243
id_223,16.9224639589
id_224,21.0405693044
id_225,30.4351208419
id_226,22.3783872175
id_227,23.727448051
id_228,15.6087451537
id_229,19.80631114
id_230,25.5844139445
id_231,21.7415720683
id_232,33.7599629014
id_233,27.6471283915
id_234,20.495697729
id_235,35.2459630749
id_236,41.7868594472
id_237,35.9705799328
id_238,15.67767261
id_239,14.2948583706
